data,passos,distancia_m,kcal_atividade,fc_repouso,fc_media,fc_max,fonte
2020-01-01,4141,0,18,,,,balance
2020-01-02,4187,0,14,,,,balance
2020-01-03,2860,0,10,,,,balance
2020-01-04,11668,8229,668,,,,balance
2020-01-05,329,0,2,,,,balance
2020-01-06,5320,0,19,,,,balance
2020-01-07,3264,0,12,,,,balance
2020-01-08,4717,0,17,,,,balance
2020-01-09,5904,0,22,,,,balance
2020-01-10,5397,0,18,,,,balance
2020-01-11,4401,0,17,,,,balance
2020-01-13,3426,0,11,,,,balance
2020-01-14,169,0,0,,,,balance
2020-01-15,5249,0,20,,,,balance
2020-01-16,2168,0,8,,,,balance
2020-01-17,3804,0,13,,,,balance
2020-01-18,1540,0,6,,,,balance
2020-01-19,991,0,4,,,,balance
2020-01-20,2378,0,8,,,,balance
2020-01-21,2862,0,10,,,,balance
2020-01-23,3713,0,13,,,,balance
2020-01-24,4212,0,15,,,,balance
2020-01-26,4987,0,16,,,,balance
2020-01-27,3191,0,11,,,,balance
2020-01-28,3733,0,14,,,,balance
2020-01-29,2885,0,10,,,,balance
2020-01-30,5873,0,23,,,,balance
2020-01-31,1657,0,5,,,,balance
2020-02-01,3212,0,12,,,,balance
2020-02-02,7606,0,943,,,,balance
2020-02-03,2076,0,7,,,,balance
2020-02-04,1796,0,7,,,,balance
2020-02-05,3446,0,11,,,,balance
2020-02-06,3378,0,13,,,,balance
2020-02-09,4633,0,731,,,,balance
2020-02-11,12538,0,55,,,,balance
2020-03-04,3164,0,11,,,,balance
2020-03-05,194,0,1,,,,balance
2020-03-06,1053,0,4,,,,balance
2020-03-07,497,0,3,,,,balance
2020-03-15,21,0,0,,,,balance
2020-03-16,9786,8184,853,,,,balance
2020-03-17,11804,11779,829,,,,balance
2020-03-21,11700,11849,926,,,,balance
2020-03-22,4279,0,18,,,,balance
2020-03-24,10655,9889,757,,,,balance
2020-03-25,53,22,1,,,,balance
2020-03-28,11,0,0,,,,balance
2020-03-29,11084,9754,787,,,,balance
2020-04-01,7459,6917,544,,,,balance
2020-04-04,10421,9752,853,,,,balance
2020-04-05,19,0,1,,,,balance
2020-04-09,6892,5235,526,,,,balance
2020-04-10,11207,10323,841,,,,balance
2020-04-11,7820,7116,572,,,,balance
2020-04-13,2175,0,8,,,,balance
2020-04-14,8080,7097,557,,,,balance
2020-04-19,7826,7119,562,,,,balance
2020-04-20,28,0,0,,,,balance
2020-04-25,11153,9646,714,,,,balance
2020-04-30,16,0,1,,,,balance
2020-05-02,10106,9002,793,,,,balance
2020-05-03,4418,0,17,,,,balance
2020-05-06,16,0,0,,,,balance
2020-05-11,9998,5284,314,,,,balance
2020-05-15,6930,5553,415,,,,balance
2020-05-16,3396,2114,120,,,,balance
2020-05-17,789,68223,1973,,,,balance
2020-05-19,11629,10060,808,,,,balance
2020-05-21,4782,0,18,,,,balance
2020-05-22,5841,0,22,,,,balance
2020-05-23,2320,0,9,,,,balance
2020-05-24,1318,37341,1237,,,,balance
2020-05-25,14717,9032,803,,,,balance
2020-05-26,6786,3027,95,,,,balance
2020-06-05,578,222,7,,,,balance
2020-06-20,18,0,0,,,,balance
2020-06-21,20279,10866,2000,,,,balance
2020-06-22,2588,0,9,,,,balance
2020-06-23,2952,0,10,,,,balance
2020-06-24,526,0,2,,,,balance
2020-06-25,7946,0,30,,,,balance
2020-06-26,9153,0,36,,,,balance
2020-06-27,2601,0,10,,,,balance
2020-06-28,36,0,0,,,,balance
2020-06-30,2458,0,9,,,,balance
2020-07-01,2450,0,9,,,,balance
2020-07-02,35,0,0,,,,balance
2020-07-03,4307,0,16,,,,balance
2020-07-04,2984,0,11,,,,balance
2020-07-05,3554,0,17,,,,balance
2020-07-08,575,0,1,,,,balance
2020-07-10,1490,0,5,,,,balance
2020-07-11,549,0,2,,,,balance
2020-07-12,1083,0,4,,,,balance
2020-07-13,1227,0,4,,,,balance
2020-07-14,1464,0,5,,,,balance
2020-07-21,17,0,1,,,,balance
2020-07-22,3385,0,11,,,,balance
2020-07-23,2157,0,8,,,,balance
2020-07-24,987,0,3,,,,balance
2020-07-25,278,0,1,,,,balance
2020-07-27,248,0,0,,,,balance
2020-07-28,2011,0,8,,,,balance
2020-08-01,7050,0,32,,,,balance
2020-08-02,727,0,3,,,,balance
2020-08-03,3518,0,14,,,,balance
2020-08-04,185,0,0,,,,balance
2020-08-05,1463,0,5,,,,balance
2020-08-06,2774,0,10,,,,balance
2020-08-07,1545,0,5,,,,balance
