data,prova,piscina_m,contexto,reps,intervalo,melhor,melhor_s,media_s,pontos_fina,local,notas
2001-01-01,100 Livres,50,prova,1,,53.30,53.30,,,,MELHOR DE SEMPRE ABSOLUTO. Aos 25 anos. ATENCAO: so o ano e conhecido - a data 01-01 e marcador, nao e real
2013-01-26,100 Livres,25,prova,1,,55.88,55.88,,516,Felgueiras,VII OPEN Inverno Masters. Melhor de sempre em 25m
2013-01-26,100 Brucos,25,prova,1,,1:09.87,69.87,,495,Felgueiras,MELHOR DE SEMPRE
2013-01-26,100 Estilos,25,prova,1,,1:05.12,65.12,,433,Felgueiras,MELHOR DE SEMPRE
2013-01-27,50 Livres,25,prova,1,,25.14,25.14,,495,Felgueiras,MELHOR DE SEMPRE
2013-01-27,50 Brucos,25,prova,1,,32.09,32.09,,470,Felgueiras,
2019-11-16,100 Livres,25,prova,1,,58.55,58.55,,449,Pacos de Ferreira,Provas de Preparacao Masters
2019-11-16,200 Brucos,25,prova,1,,2:49.89,169.89,,348,Pacos de Ferreira,
2020-01-11,50 Mariposa,25,prova,1,,33.96,33.96,,247,Aguas Santas,XX Torneio Int. Cidade
2020-01-11,100 Mariposa,25,prova,1,,1:13.57,73.57,,272,Aguas Santas,
2020-01-11,400 Estilos,25,prova,1,,5:32.67,332.67,,351,Aguas Santas,
2020-01-18,50 Livres,50,prova,1,,28.15,28.15,,409,Povoa de Varzim,VI Torneio CNPO. Ponto baixo do historico
2022-12-08,200 Livres,25,prova,1,,2:14.20,134.20,,396,Recarei,Trofeu Fundo Master ANNP
2022-12-08,200 Brucos,25,prova,1,,2:48.38,168.38,,357,Recarei,
2023-07-07,200 Brucos,50,prova,1,,2:53.18,173.18,,380,S. Joao da Madeira,XXIV Campeonato Nacional Masters
2023-07-08,50 Brucos,50,prova,1,,33.64,33.64,,459,S. Joao da Madeira,MELHOR DE SEMPRE em 50m
2023-07-09,50 Livres,50,prova,1,,26.84,26.84,,472,S. Joao da Madeira,
2023-07-09,100 Brucos,50,prova,1,,1:16.45,76.45,,411,S. Joao da Madeira,MELHOR DE SEMPRE em 50m
2024-01-27,50 Livres,50,prova,1,,26.60,26.60,,485,Povoa de Varzim,IX Torneio CNPO. MELHOR DE SEMPRE em 50m
2024-07-05,200 Livres,50,prova,1,,2:16.94,136.94,,413,Sao Joao da Madeira,XXV Campeonato Nacional Masters
2024-07-06,50 Brucos,50,prova,1,,33.84,33.84,,450,Sao Joao da Madeira,
2024-07-07,100 Livres,50,prova,1,,59.07,59.07,,484,Sao Joao da Madeira,MELHOR DE SEMPRE em 50m
2024-11-02,50 Brucos,25,prova,1,,32.03,32.03,,472,Porto,Trofeu Masters Clube Fluvial. MELHOR DE SEMPRE
2024-11-02,50 Mariposa,25,prova,1,,31.63,31.63,,306,Porto,
2024-11-02,200 Estilos,25,prova,1,,2:26.73,146.73,,408,Porto,
2025-04-12,100 Brucos,25,prova,1,,1:13.35,73.35,,428,Estarreja,IV Torneio Master Cidade
2025-06-01,100 Livres,50,prova,1,,59.95,59.95,,463,Porto,VIII Trofeu Internacional
2025-06-01,50 Brucos,50,prova,1,,33.68,33.68,,457,Porto,
2025-06-22,50 Costas,50,prova,1,,35.33,35.33,,296,Povoa de Varzim,Campeonatos Territoriais
2025-06-22,50 Livres,50,parcial,1,,27.26,27.26,,,Povoa de Varzim,Tempo de passagem (Lap) - nao e resultado individual
2025-06-22,100 Brucos,50,prova,1,,1:17.76,77.76,,391,Povoa de Varzim,
2025-06-22,200 Brucos,50,prova,1,,2:58.16,178.16,,349,Povoa de Varzim,
2025-11-01,50 Livres,25,prova,1,,26.18,26.18,,439,Porto,Trofeu Clube Fluvial
2025-11-01,50 Brucos,25,prova,1,,32.66,32.66,,445,Porto,Trofeu Clube Fluvial
2026-01-23,50 Mariposa,25,prova,1,,29.68,29.68,,370,Torres Novas,OPEN Masters Inverno
2026-01-23,200 Estilos,25,prova,1,,2:31.65,151.65,,370,Torres Novas,OPEN Masters Inverno
2026-07-11,50 Livres,50,prova,1,,27.36,27.36,,446,Famalicao,OPEN Internacional Master. Peso 100.1 kg
2026-07-11,100 Brucos,50,prova,1,,1:17.29,77.29,,398,Famalicao,OPEN Internacional Master. Peso 100.1 kg
