data,deitar,acordar,cama_min,sono_min,profundo_min,rem_min,leve_min,acordado_min,fc_min,score,fonte,notas
2020-08-05,,,86,86,63,,23,,,,balance,Export Zepp
2021-08-12,,,264,231,95,,136,33,,,balance,Export Zepp
2021-08-23,,,194,194,74,,120,,,,balance,Export Zepp
2021-08-25,,,310,310,147,,163,,,,balance,Export Zepp
2021-08-30,,,135,135,51,,84,,,,balance,Export Zepp
2021-08-31,,,315,244,65,,179,71,,,balance,Export Zepp
2021-10-28,,,130,130,50,,80,,,,balance,Export Zepp
2022-01-08,,,675,481,23,,458,194,,,balance,Export Zepp
2023-04-20,,,69,69,14,,55,,,,balance,Export Zepp
2023-05-04,,,78,78,10,,68,,,,balance,Export Zepp
2023-05-16,,,77,77,,,77,,,,balance,Export Zepp
2023-09-07,,,183,183,39,,144,,,,balance,Export Zepp
2023-09-10,,,146,129,,,129,17,,,balance,Export Zepp
2023-10-31,,,72,72,24,,48,,,,balance,Export Zepp
2024-06-20,,,68,68,30,,38,,,,balance,Export Zepp
2024-08-02,,,62,62,,,62,,,,balance,Export Zepp
2024-10-13,,,143,143,,,143,,,,balance,Export Zepp
2024-11-19,,,436,436,68,103,265,,,,balance,Export Zepp
2024-11-20,,,519,518,83,68,367,1,,,balance,Export Zepp
2024-11-21,,,346,346,38,59,249,,,,balance,Export Zepp
2024-11-22,,,533,533,79,74,380,,,,balance,Export Zepp
2024-11-23,,,398,397,63,70,264,1,,,balance,Export Zepp
2024-11-24,,,597,596,74,99,423,1,,,balance,Export Zepp
2024-11-25,,,367,367,47,64,256,,,,balance,Export Zepp
2024-11-26,,,411,411,59,87,265,,,,balance,Export Zepp
2024-11-27,,,443,442,79,68,295,1,,,balance,Export Zepp
2024-11-28,,,356,355,57,69,229,1,,,balance,Export Zepp
2024-11-29,,,540,540,103,85,352,,,,balance,Export Zepp
2024-11-30,,,404,404,60,71,273,,,,balance,Export Zepp
2024-12-02,,,384,384,63,46,275,,,,balance,Export Zepp
2024-12-03,,,365,365,70,55,240,,,,balance,Export Zepp
2024-12-04,,,520,519,94,68,357,1,,,balance,Export Zepp
2024-12-05,,,402,402,93,70,239,,,,balance,Export Zepp
2024-12-06,,,525,524,88,71,365,1,,,balance,Export Zepp
2024-12-07,,,234,234,48,57,129,,,,balance,Export Zepp
2025-07-20,,,186,186,62,31,93,,40,,balance,Export Zepp
2025-12-08,,,16,16,,,16,,46,,balance,Export Zepp
2026-01-14,,,422,422,95,68,259,,54,,balance,Export Zepp
2026-01-15,,,455,454,81,53,320,1,40,,balance,Export Zepp
2026-01-16,,,416,416,96,65,255,,41,,balance,Export Zepp
2026-03-21,,,394,390,55,72,263,4,41,,balance,Export Zepp
2026-03-24,,,420,416,68,39,309,4,40,,balance,Export Zepp
2026-07-20,,,385,384,53,46,285,1,40,,balance,Export Zepp
2026-07-21,,,432,416,107,25,284,16,40,,balance,Export Zepp
2026-07-22,,,435,410,73,43,294,25,40,,balance,Export Zepp
2026-07-23,,,428,402,68,71,263,26,40,,balance,Export Zepp
2026-07-27,,,400,399,57,94,248,1,40,,balance,Export Zepp
2026-07-28,,,404,401,80,46,275,3,40,,balance,Export Zepp
2026-07-29,,,448,395,92,50,253,53,40,,balance,Export Zepp
2026-07-30,,,442,425,93,49,283,17,40,,balance,Export Zepp
2026-07-31,,,396,338,68,30,240,58,40,,balance,Export Zepp
2026-08-01,,,597,507,73,72,362,90,47,,balance,Export Zepp
2026-08-03,,,306,291,46,51,194,15,41,,balance,Export Zepp
2026-08-04,,,287,262,58,26,178,25,40,,balance,Export Zepp
2026-08-05,,,468,410,77,46,287,58,40,,balance,Export Zepp
2026-08-06,23:00,06:47,467,,,,,,,,atleta,Rotina declarada. Dados do Amazfit Balance ainda por importar
2026-08-07,00:34,06:48,375,372,78,51,243,3,40,,balance,Sono real 6h12. Latencia ~1h30: FC ja a 53 as 00h00 mas sono so as 00h34. REM em 13.7% (normal 20-25%)
